VNA:  37397C
 
MODEL:                       DATE:     11/06/2014  19:15        PAGE 1
DEVICE ID:                   OPERATOR:  
START:      4.600000000 GHz  GATE START:       -        ERROR CORR: NONE       
STOP:       4.660000000 GHz  GATE STOP:        -        AVERAGING:   1 PT 
STEP:       0.000037500 GHz  GATE:             -        IF BNDWDTH: 10 Hz 
                             WINDOW:           - 
                      ---CH1--- 
PARAMETER:              -S21-  
NORMALIZATION:      DATA & MEMORY 
REFERENCE PLANE:         0.0000mm 
SMOOTHING:           0.0 PERCENT 
DELAY APERTURE:           - 
MARKERS: 
MKR     FREQ          MAGNITUDE 
#       GHz              dB 
1     4.619987500     -33.450     
FREQUENCY POINTS: 
PNT     FREQ          MAGNITUDE 
#       GHz              dB 
562    4.621037500    -29.233     
563    4.621075000    -29.662     
564    4.621112500    -30.714     
565    4.621150000    -30.408     
566    4.621187500    -28.433     
567    4.621225000    -29.447     
568    4.621262500    -29.951     
569    4.621300000    -28.714     
570    4.621337500    -27.418     
571    4.621375000    -29.458     
572    4.621412500    -29.090     
573    4.621450000    -29.161     
574    4.621487500    -27.157     
575    4.621525000    -27.997     
576    4.621562500    -26.971     
577    4.621600000    -28.020     
578    4.621637500    -28.444     
579    4.621675000    -28.457     
580    4.621712500    -27.422     
581    4.621750000    -29.055     
582    4.621787500    -27.806     
583    4.621825000    -25.856     
584    4.621862500    -26.226     
585    4.621900000    -27.263     
586    4.621937500    -26.328     
587    4.621975000    -27.272     
588    4.622012500    -27.488     
589    4.622050000    -26.048     
590    4.622087500    -26.508     
591    4.622125000    -25.488     
592    4.622162500    -26.767     
593    4.622200000    -27.288     
594    4.622237500    -26.183     
595    4.622275000    -24.094     
596    4.622312500    -26.380     
597    4.622350000    -26.434     
598    4.622387500    -25.474     
599    4.622425000    -24.355     
600    4.622462500    -24.808     
601    4.622500000    -27.588     
602    4.622537500    -26.162     
603    4.622575000    -24.973     
604    4.622612500    -24.843     
605    4.622650000    -24.082     
606    4.622687500    -24.774     
607    4.622725000    -23.838     
608    4.622762500    -25.718     
609    4.622800000    -25.328     
610    4.622837500    -23.742     
611    4.622875000    -23.592     
612    4.622912500    -24.277     
613    4.622950000    -23.927     
614    4.622987500    -23.456     
615    4.623025000    -24.143     
616    4.623062500    -23.072     
617    4.623100000    -24.220     
618    4.623137500    -23.776     
619    4.623175000    -24.104     
620    4.623212500    -23.536     
621    4.623250000    -22.465     
622    4.623287500    -23.274     
623    4.623325000    -23.074     
624    4.623362500    -22.104     
625    4.623400000    -22.124     
626    4.623437500    -21.893     
627    4.623475000    -21.870     
628    4.623512500    -22.496     
629    4.623550000    -22.458     
630    4.623587500    -22.274     
631    4.623625000    -22.241     
632    4.623662500    -22.581     
633    4.623700000    -21.059     
634    4.623737500    -22.331     
635    4.623775000    -21.165     
636    4.623812500    -22.772     
637    4.623850000    -20.836     
638    4.623887500    -21.484     
639    4.623925000    -20.961     
640    4.623962500    -20.852     
641    4.624000000    -20.764     
642    4.624037500    -19.983     
643    4.624075000    -20.924     
644    4.624112500    -20.468     
645    4.624150000    -20.451     
646    4.624187500    -20.092     
647    4.624225000    -19.767     
648    4.624262500    -19.764     
649    4.624300000    -20.469     
650    4.624337500    -19.585     
651    4.624375000    -18.760     
652    4.624412500    -18.593     
653    4.624450000    -19.200     
654    4.624487500    -19.080     
655    4.624525000    -19.413     
656    4.624562500    -19.085     
657    4.624600000    -19.256     
658    4.624637500    -18.507     
659    4.624675000    -19.046     
660    4.624712500    -18.764     
661    4.624750000    -18.050     
662    4.624787500    -18.467     
663    4.624825000    -17.743     
664    4.624862500    -17.821     
665    4.624900000    -18.144     
666    4.624937500    -17.932     
667    4.624975000    -17.491     
668    4.625012500    -17.245     
669    4.625050000    -16.905     
670    4.625087500    -16.923     
671    4.625125000    -16.933     
672    4.625162500    -16.820     
673    4.625200000    -17.026     
674    4.625237500    -16.389     
675    4.625275000    -16.378     
676    4.625312500    -17.567     
677    4.625350000    -16.079     
678    4.625387500    -16.147     
679    4.625425000    -15.743     
680    4.625462500    -15.872     
681    4.625500000    -16.013     
682    4.625537500    -15.411     
683    4.625575000    -15.392     
684    4.625612500    -15.571     
685    4.625650000    -15.234     
686    4.625687500    -15.231     
687    4.625725000    -15.006     
688    4.625762500    -14.923     
689    4.625800000    -14.607     
690    4.625837500    -14.651     
691    4.625875000    -14.253     
692    4.625912500    -14.388     
693    4.625950000    -14.249     
694    4.625987500    -14.309     
695    4.626025000    -13.992     
696    4.626062500    -14.082     
697    4.626100000    -13.798     
698    4.626137500    -13.588     
699    4.626175000    -13.494     
700    4.626212500    -13.163     
701    4.626250000    -13.415     
702    4.626287500    -13.410     
703    4.626325000    -13.190     
704    4.626362500    -12.739     
705    4.626400000    -12.940     
706    4.626437500    -12.711     
707    4.626475000    -12.968     
708    4.626512500    -12.600     
709    4.626550000    -12.517     
710    4.626587500    -12.387     
711    4.626625000    -12.520     
712    4.626662500    -12.237     
713    4.626700000    -12.158     
714    4.626737500    -11.929     
715    4.626775000    -12.216     
716    4.626812500    -11.974     
717    4.626850000    -12.003     
718    4.626887500    -11.860     
719    4.626925000    -12.189     
720    4.626962500    -12.106     
721    4.627000000    -12.079     
722    4.627037500    -11.995     
723    4.627075000    -12.076     
724    4.627112500    -12.243     
725    4.627150000    -11.877     
726    4.627187500    -12.207     
727    4.627225000    -11.699     
728    4.627262500    -11.834     
729    4.627300000    -12.136     
730    4.627337500    -11.745     
731    4.627375000    -12.044     
732    4.627412500    -11.967     
733    4.627450000    -12.053     
734    4.627487500    -12.468     
735    4.627525000    -11.910     
736    4.627562500    -11.919     
737    4.627600000    -12.143     
738    4.627637500    -12.243     
739    4.627675000    -12.189     
740    4.627712500    -12.079     
741    4.627750000    -12.133     
742    4.627787500    -12.376     
743    4.627825000    -12.627     
744    4.627862500    -12.421     
745    4.627900000    -12.884     
746    4.627937500    -13.437     
747    4.627975000    -12.609     
748    4.628012500    -12.713     
749    4.628050000    -12.684     
750    4.628087500    -12.982     
751    4.628125000    -12.944     
752    4.628162500    -13.330     
753    4.628200000    -13.296     
754    4.628237500    -13.449     
755    4.628275000    -13.341     
756    4.628312500    -13.331     
757    4.628350000    -13.374     
758    4.628387500    -13.522     
759    4.628425000    -13.442     
760    4.628462500    -13.818     
761    4.628500000    -13.817     
762    4.628537500    -13.849     
763    4.628575000    -13.756     
764    4.628612500    -13.925     
765    4.628650000    -14.145     
766    4.628687500    -14.065     
767    4.628725000    -14.264     
768    4.628762500    -14.422     
769    4.628800000    -14.498     
770    4.628837500    -14.443     
771    4.628875000    -14.609     
772    4.628912500    -14.916     
773    4.628950000    -14.511     
774    4.628987500    -14.573     
775    4.629025000    -15.276     
776    4.629062500    -14.652     
777    4.629100000    -15.188     
778    4.629137500    -14.937     
779    4.629175000    -15.190     
780    4.629212500    -15.109     
781    4.629250000    -15.357     
782    4.629287500    -15.618     
783    4.629325000    -15.495     
784    4.629362500    -15.139     
785    4.629400000    -15.580     
786    4.629437500    -15.603     
787    4.629475000    -16.036     
788    4.629512500    -15.969     
789    4.629550000    -16.111     
790    4.629587500    -15.811     
791    4.629625000    -16.443     
792    4.629662500    -16.032     
793    4.629700000    -16.527     
794    4.629737500    -16.640     
795    4.629775000    -16.164     
796    4.629812500    -16.172     
797    4.629850000    -16.658     
798    4.629887500    -16.322     
799    4.629925000    -16.502     
800    4.629962500    -16.740     
801    4.630000000    -16.740     
802    4.630037500    -17.169     
803    4.630075000    -16.392     
804    4.630112500    -16.810     
805    4.630150000    -16.615     
806    4.630187500    -16.934     
807    4.630225000    -16.860     
808    4.630262500    -17.521     
809    4.630300000    -17.797     
810    4.630337500    -17.315     
811    4.630375000    -17.554     
812    4.630412500    -17.223     
813    4.630450000    -17.482     
814    4.630487500    -17.265     
815    4.630525000    -17.814     
816    4.630562500    -17.750     
817    4.630600000    -17.412     
818    4.630637500    -18.570     
819    4.630675000    -17.698     
820    4.630712500    -17.757     
821    4.630750000    -18.323     
822    4.630787500    -17.789     
823    4.630825000    -18.435     
824    4.630862500    -18.241     
825    4.630900000    -18.370     
826    4.630937500    -17.891     
827    4.630975000    -18.525     
828    4.631012500    -18.114     
829    4.631050000    -18.111     
830    4.631087500    -18.987     
831    4.631125000    -18.367     
832    4.631162500    -18.500     
833    4.631200000    -18.162     
834    4.631237500    -18.729     
835    4.631275000    -19.111     
836    4.631312500    -17.990     
837    4.631350000    -18.588     
838    4.631387500    -18.741     
839    4.631425000    -19.582     
840    4.631462500    -18.614     
